alpha obs_time
2.340660064062687 74655.0
2.3453584213432497 43492.0
2.3814216557892895 97891.0
1.9569971100862105 49701.0
2.226417133551596 39208.0
1.6776523465609188 40473.0
2.10127566782175 60851.0
2.1686223968621787 96914.0
1.6148090070707464 46745.0
1.3978729597904165 27765.0
1.497455630077973 32850.0
1.6281054549527163 19381.0
1.9135761738617683 22999.0
1.8191396363531342 28389.0
1.7853054800275128 76087.0
1.9039891861524498 70253.0
1.2539558424907928 16788.0
1.104546322762046 32190.0
1.0418148401683869 13059.0
1.3617813437465383 25648.0
1.1787182063563864 30771.0
1.5203622356516857 52666.0
2.2114207365092695 83589.0
1.5873668661706033 46213.0
2.335282349989931 61140.0
2.1679802137633586 54044.0
2.591723955218687 87054.0
2.0176661959565907 50552.0
1.1122021494560115 33502.0
2.320521780809028 73405.0
1.5486638143170146 45030.0
1.420793694920103 33562.0
2.1346877656817393 87791.0
2.0807314473989487 30738.0
2.3354163657104356 39462.0
1.2480257041582965 22581.0
1.7160695418393073 29763.0
1.8981737532881848 53478.0
1.1250321611252132 17427.0
2.279698336556622 51934.0
2.2139405426603016 47002.0
1.2389994025810704 13771.0
1.607668461286199 34673.0
1.7677797081931474 47966.0
1.4234994498481088 39562.0
2.12889008014238 60687.0
1.7740747452702126 68709.0
1.1226126042980857 12779.0
1.9571914868487137 38694.0
1.5179488037496442 47699.0
2.372726514973513 70560.0
2.2769824163569363 78581.0
1.9165135080759106 94792.0
1.5666034822059671 24642.0
1.0198117921504557 17335.0
2.0982376740593067 26590.0
1.7866635118089431 36910.0
0.8910809254836434 17375.0
2.482296124419869 63911.0
1.1459636792504715 37069.0
1.7276799196724597 55154.0
1.6391954993637754 56954.0
2.1281272827012327 28523.0
1.9610110223229853 67587.0
2.2340799830117355 54510.0
2.056564173910613 39784.0
2.3105688938122495 72723.0
1.934530329339051 26089.0
1.459702121104851 17942.0
1.6260724099459194 52421.0
1.7441948836850139 39596.0
2.4031810025060683 65973.0
2.220302521497278 80255.0
2.0867930368049468 33398.0
2.5989909452833744 99867.0
1.2820744835071831 30468.0
2.4177304404769564 57214.0
2.0903465540228585 76297.0
1.6861036738652295 33240.0
2.378849610830466 73161.0
2.037935473432788 60497.0
2.082276300919938 70827.0
1.9563995866182315 35336.0
2.0252795158298516 72340.0
2.074844520136827 58809.0
2.114348593267363 98576.0
1.6137270923171352 46238.0
2.281560392972481 68939.0
2.2524542424349816 46837.0
1.931585209639318 41495.0
1.8606741137109295 66194.0
2.3317058893298777 50859.0
1.8738919381203156 37991.0
1.5153951392847467 45492.0
1.6009714682514478 39492.0
1.6654817930706765 33287.0
2.51189454976906 69985.0
1.7950825163722848 68796.0
1.8541145930983962 27314.0
1.777740016806689 72143.0
1.8750280649599782 88786.0
1.5206655026676599 53040.0
2.2586780380978917 71321.0
2.4799089710263753 68928.0
1.6240770183759374 51212.0
2.2504771664207626 49766.0
2.044478280658604 74306.0
1.6604388132893482 43647.0
1.513132908329868 32998.0
2.1437287850576054 32907.0
2.22824713109951 70211.0
2.3277680618402368 83126.0
1.5845423174166084 17720.0
2.5812846608936657 67658.0
1.4564973214141785 19514.0
2.175492460497856 47102.0
1.577199130936222 57329.0
2.234270949890327 33315.0
1.718400967564616 43186.0
2.0053928416748557 56485.0
1.7402708645119613 72331.0
1.930748017154308 31964.0
1.6544084845766316 64203.0
1.493077346649122 48712.0
1.6621632029785025 19301.0
2.0670213531055177 75054.0
2.025513348851244 69807.0
1.1442887179399417 29387.0
1.5240651620294745 27096.0
1.3831127547780127 33097.0
1.6740797001736485 55557.0
1.4047335608776774 21761.0
2.132453866385934 62868.0
1.49467013125484 38034.0
0.9776328918253507 20662.0
1.3265623838160783 30681.0
2.143910081530509 30677.0
1.2476997578677484 21684.0
2.4749835147291543 68814.0
1.7750497492935393 63367.0
1.4541507440941197 25802.0
1.9879108144460251 66953.0
2.218479530859586 93491.0
1.3411346397958348 22312.0
1.3561970355016328 20934.0
1.1387787377403293 13903.0
1.1449504412321785 29574.0
2.0776683783709413 25432.0
2.0817667650221647 27579.0
1.0310058037307994 20975.0
2.0720045599094963 82351.0
2.4139910472356747 60262.0
2.426148945080377 48391.0
2.4702071277466664 63329.0
2.3350318571219515 45248.0
1.3460369720346506 17335.0
2.3271913572388554 96813.0
1.755693647020403 31260.0
0.9984437594867539 24211.0
2.0586175820678987 40220.0
1.582717474503989 41642.0
2.120771616430305 44573.0
1.811827143744341 22429.0
2.2826686249993244 59152.0
2.3109099882396915 42171.0
1.6481660295352345 49467.0
2.119808109201526 53558.0
2.344119419964694 72291.0
1.2705487233625439 15103.0
2.4790096404528255 53004.0
0.6087357055700153 10018.0
1.7660300554549633 25425.0
2.543321742814441 87866.0
2.1189114102019926 38634.0
2.4807329262645363 53433.0
2.3969811694355325 74593.0
2.2144568326730703 93423.0
1.178860453365317 31879.0
1.2667060328096227 28514.0
2.239764629842618 94968.0
1.8988507191221178 60251.0
2.3897946043586202 96913.0
1.4657810766076746 31107.0
1.7901782798947456 74438.0
0.7009818337847937 11037.0
1.9072341009971652 43470.0
2.2323038648768065 84710.0
1.5258063445481889 26433.0
1.4116953549771087 32080.0
2.0546883989844567 93041.0
0.6167774419954755 11766.0
1.0745933848071314 18614.0
1.8581595242321391 81156.0
2.1535976565397235 91705.0
2.445049212978722 49525.0
2.1685435324924205 68777.0
1.6235730799375936 18949.0
1.3941715219584958 12664.0
1.153939828165949 26966.0
1.2064043499128354 34770.0
2.3337272519202523 71274.0
1.8402460219130479 52032.0
1.5146725863312853 37499.0
2.016926595942155 53517.0
1.3359894679827153 14159.0
1.7913313627630993 34562.0
1.7895388552264788 28172.0
2.235076918897263 50502.0
1.6909633421758317 50241.0
0.9895385413015072 19340.0
1.49256152102094 18917.0
1.335460751994986 36148.0
1.7146879398518255 46599.0
1.6526353756730574 14599.0
2.129431199587411 29420.0
1.9175199761371342 78439.0
1.5315278389643163 46316.0
2.464123127003825 62503.0
1.2445518120835448 11534.0
2.083061040937875 70251.0
1.2378156812138879 20925.0
2.4924766496821804 88680.0
1.1688620268473984 23354.0
2.1988902363146803 80649.0
2.033115769895238 78945.0
2.1341149144356004 28014.0
1.5708719346970201 52442.0
2.0783867938692824 29399.0
0.9304028597472433 14841.0
1.4073332897690376 12440.0
1.9418462725804708 42660.0
2.3647139444948424 59047.0
2.461671095257986 93480.0
2.0393638195284245 49976.0
1.7668334235952992 22008.0
2.41902150761355 81442.0
2.2056469206113944 44994.0
1.3544808169190716 14792.0
1.3376651994134598 47018.0
1.6883541952030328 17453.0
2.145583654438122 96295.0
1.2303880140477086 16331.0
1.4556036902486236 15594.0
1.915667778708388 67299.0
1.9537384412810679 66210.0
1.8607698584764738 45060.0
2.2771056577796065 35681.0
1.1014332153686646 18414.0
1.5820227437214927 64913.0
1.299703615390865 19351.0
1.0120865130655898 25905.0
1.571871949267826 14383.0
2.287503752296262 37728.0
1.8922167479062617 72982.0
2.2624236949122496 96740.0
1.8745060398847917 18918.0
2.289556923790747 88074.0
1.5783131106118076 31853.0
1.9302645841168764 29854.0
1.6383801399760205 33333.0
1.4635796787754036 19319.0
2.349514923740596 97841.0
1.3927182652067112 19926.0
1.5011605650501783 16438.0
2.2829974145023115 55773.0
2.010221566436806 35524.0
0.9503920926652596 16146.0
1.5604253423407872 17502.0
2.17217777511886 25706.0
2.319027129170815 63719.0
1.9717639451203774 80664.0
2.284705864626983 59650.0
2.298281212379952 81146.0
1.8770562938205138 66200.0
2.0985121312664967 92201.0
2.096889167081243 24106.0
1.7882818492768613 57242.0
