alpha log_norm
2.0510392457642688 -2.0965681348452465
1.74357865998449 -2.2922583773857648
1.6809701403827524 -2.323464219759842
1.8023471112677605 -2.259626939252277
1.74357865998449 -2.212070675522472
1.5159343350573924 -2.544821887158804
1.5639326197257015 -2.323464219759842
1.8672470727542274 -2.2125630691022495
1.7259597803131073 -2.2933571911637562
1.3386277225598675 -2.492903489701855
2.2099937699064753 -2.069220990804799
1.4630111730764894 -2.4542925900844432
1.2888930270351489 -2.598478316586303
1.772615558044833 -2.4093276950374816
1.5928506882304623 -2.523797152134086
1.377767396299169 -2.5827935488448843
1.5696520374915077 -2.4337311429537163
1.8433339694868551 -2.1938124202358233
1.8949140923439978 -2.1384150327392204
1.7549555200583544 -2.3133554762724793
1.8131880405479417 -2.3133554762724793
1.2791420657066437 -2.5879556781064394
1.9980214089707993 -2.0767441417479704
1.750600233309132 -2.1919963962566458
1.5453751070596655 -2.3706881977531564
1.8177833096898801 -2.2828450042285464
1.480212024646551 -2.4248786876715327
1.668052472199284 -2.492903489701855
2.0239777755653194 -2.1092163337503287
1.9388106375334644 -2.237144428166284
1.1912054977610582 -2.6340581965464818
1.46276922369961 -2.334140171070261
1.456683382280752 -2.493150180045916
2.197970852403893 -1.9550773694015187
1.8035783810298125 -2.1938124202358233
1.3735533353297247 -2.433354343783418
1.7872708731263143 -2.2831659567967657
1.5928506882304623 -2.509656540361086
1.5106092014075043 -2.3706881977531564
1.2156677885096818 -2.5833790162558516
1.3386277225598675 -2.6351721778945416
1.4586423697274336 -2.508705220512317
1.8672470727542274 -2.095963197289704
1.7046052874348223 -2.2486909711733656
1.8801182061821564 -2.121987486855401
1.7430490184419767 -2.475461246136425
1.7676794395949895 -2.204553231329908
1.3770213027340232 -2.515888262573058
1.456683382280752 -2.4597183264092415
1.8129002320717953 -2.2892622363384767
1.4135488084708583 -2.61074627850773
2.072760773113537 -2.1352034172539893
1.3381294013044585 -2.5726819904826916
1.7314767725015876 -2.2255265465508027
1.7065787060982536 -2.3298899742721
1.8191981612798156 -2.1988137573813127
2.034554444519909 -2.118583206975295
1.9388106375334644 -2.2255265465508027
1.7887597610480723 -2.291483795224026
1.5159343350573924 -2.4384591555027573
1.634900696200587 -2.2368686214145814
2.034554444519909 -2.155412994326653
1.5174843695630265 -2.3861275536630977
1.461496326048437 -2.5398148713253956
1.4324026143086277 -2.412722585224006
1.668052472199284 -2.4597183264092415
1.8433339694868551 -2.3201620744568237
1.6809701403827524 -2.277488274801687
1.6122415457278496 -2.3475931080019397
1.377767396299169 -2.5451665918776056
2.034554444519909 -2.2379690328907973
1.6809701403827524 -2.24188951920927
1.8177833096898801 -2.1938124202358233
1.6122415457278496 -2.289314029434001
1.5883961390243058 -2.489546768056665
1.263606189925682 -2.566065169846573
1.8801182061821564 -2.311933722699112
1.7065664496410125 -2.2790482478835203
1.6026426536854232 -2.311933722699112
1.46276922369961 -2.3133554762724793
1.305145941425486 -2.5827935488448843
1.5311501137808274 -2.304722717050878
1.9307195481336146 -2.307943434387044
1.8509087397861983 -2.117988597933237
1.6025936209733338 -2.3010841770158708
1.745836117747831 -2.1988137573813127
2.068731624623994 -2.009802185226527
1.6085784554639608 -2.3974812975771265
1.6044010806463889 -2.289314029434001
1.7766881307816804 -2.4723013851587403
2.072760773113537 -2.1372706315913454
1.46276922369961 -2.5718446182527526
1.5174843695630265 -2.333912881123239
2.056837421148588 -2.020689449759094
2.2750315987576055 -1.9244017613195192
1.8214198733793543 -2.136487095688979
1.655254815877404 -2.300375081312694
2.1515615476225034 -2.009649821180566
1.8177833096898801 -2.1988137573813127
1.7872708731263143 -2.2125630691022495
1.6122415457278496 -2.311933722699112
1.7732772663468759 -2.194170363954442
1.7940466394942771 -2.397348328068185
1.5453751070596655 -2.4460895872828514
1.8177833096898801 -2.253182391715826
1.8075670219101108 -2.152546059710197
1.480212024646551 -2.398228861768894
2.034554444519909 -2.0005072599672915
1.515437976133652 -2.4718560190290084
1.9908582074316425 -2.0965681348452465
1.8440976958274018 -2.2522109177260683
1.3428939923013803 -2.598478316586303
1.7046052874348223 -2.453771142666463
1.5453751070596655 -2.475461246136425
1.407593862024816 -2.4181071911880436
1.5676869376747384 -2.306164176969503
1.5883961390243058 -2.333912881123239
1.4252827997037274 -2.5278532677377124
1.3381294013044585 -2.523797152134086
1.9980214089707993 -2.3324600948627765
1.7359367612729344 -2.227908117300603
2.145434702805638 -2.061293124033104
1.9892989769975913 -2.2310141562253336
1.8879049827049987 -2.1092163337503287
1.7046052874348223 -2.4692172744376975
1.459007737061914 -2.4181071911880436
1.5095896736411958 -2.421374441155829
1.9546601960338041 -2.334140171070261
2.2108599145290873 -2.036652637576163
1.6001957361370327 -2.311933722699112
2.14135332448143 -2.155412994326653
1.7603625746983909 -2.4364849097594443
1.8214198733793543 -2.3532856142850713
1.8214198733793543 -2.1506514843200657
2.0081252664649627 -2.164178552776366
1.600028222664663 -2.2850532501024636
2.0035715563833723 -2.291483795224026
1.6044010806463889 -2.4639993897423142
1.515437976133652 -2.3547134627310564
2.1604560968950404 -2.021737387117593
1.7676794395949895 -2.3974812975771265
2.2703609297758494 -1.9194215618638777
1.8440976958274018 -2.280939952471199
1.2772032854453679 -2.6351721778945416
1.5676869376747384 -2.5451665918776056
1.8509087397861983 -2.227908117300603
1.6026426536854232 -2.272446201773539
1.5685045348373752 -2.307943434387044
1.46276922369961 -2.509656540361086
1.8672470727542274 -2.177834305639917
1.8949140923439978 -2.0567296205756325
1.3262561052131892 -2.589598058420636
1.8949140923439978 -2.1183452025122187
1.5435909575005675 -2.3511206502352304
1.74357865998449 -2.3974812975771265
2.2219407508478897 -2.047830144487132
2.0538698519321397 -2.0116501689162423
1.5095896736411958 -2.378609329092316
1.7506200470403317 -2.412722585224006
