alpha log_norm
1.7927061559778954 -2.2494142530352152
3.5889746763894372 -1.0995989750161128
1.760411961917073 -2.2153055867049485
2.226927694497609 -2.1094216848035874
3.6669142462112383 -1.0995989750161128
2.087735154216976 -2.1362829389329674
1.5487512580142928 -2.4039743675827485
1.6516434703938678 -2.350631280996836
1.9966138390246562 -2.2193053472401982
2.359451525604988 -2.022293999788543
3.312695357860182 -1.156068200303772
1.6954817010159806 -2.3115677972462545
1.744343739525387 -2.274615698098979
1.556067789084426 -2.3435116311098936
2.1777439945691763 -2.1280055224528507
1.7416617867003605 -2.263018186204379
1.8586710179886594 -2.245682041033504
1.6954817010159806 -2.263018186204379
1.5700387148494233 -2.405470403988911
1.8816204101559018 -2.2494447856133646
1.6330122174044015 -2.2898099853223925
3.819598694854608 -1.0698927898402308
1.927465972810867 -2.1866791518004085
1.9588138571025668 -2.275672475737806
1.3918235681969926 -2.467597086735827
1.8225000758698937 -2.2494447856133646
2.0260993737148096 -2.1162031886824586
1.539918828434535 -2.495028668235675
1.6847150256937558 -2.2889246505833643
1.9693453721925214 -2.108863075239329
2.5052244430537423 -1.873195551257929
2.087735154216976 -2.094650899224245
1.906390324676085 -2.220446335096556
1.789198453327935 -2.191975566980254
1.626109603734578 -2.373973905845637
1.7485893442778746 -2.3079224535877945
2.034629857168828 -2.113999562928477
1.927465972810867 -2.154483796844692
2.0012170754363794 -2.1237217426229877
1.627557639766662 -2.3293751659546316
1.789198453327935 -2.214589608829958
1.2639995738812693 -2.4631946721353835
3.710208903479276 -1.063130959076268
2.3414074412821986 -2.079527131429627
1.3858533307719432 -2.440763291433327
3.552840257738427 -1.106448327178737
1.346237497493366 -2.4804882450742873
1.784116680633623 -2.2871345278159083
1.4849005619497186 -2.354317957068658
1.434006351048331 -2.399932059646437
1.9205997787375513 -2.191975566980254
1.9216461580651352 -2.167165007019834
2.1600769631465524 -2.0324261813562696
2.070339327898772 -2.1636202629934256
1.8995001176088284 -2.2349270100019125
1.5677497772494482 -2.4563771718041125
1.9260216978876445 -2.275672475737806
1.6623863757148472 -2.422047398295093
1.6080955037065787 -2.3435116311098936
1.2277246701664672 -2.5325576515970276
2.115635959848891 -2.148697158955879
1.8355427304799505 -2.2270447628784646
1.2284522891990912 -2.563848454969169
1.1845966681145195 -2.5514233589344153
1.6330122174044015 -2.3766479957963194
2.3500537146995453 -1.9843863886896838
2.1531060797626136 -2.0679235142474672
1.7150456506043772 -2.310747451387426
1.7927061559778954 -2.22333550743591
1.906390324676085 -2.199537583329002
2.1531060797626136 -2.0567978630098955
1.775413282161228 -2.2375604065485843
1.2914830167149223 -2.6361845384475853
2.099283157369231 -2.191975566980254
1.5576067975711552 -2.467475726787219
2.3256845104349195 -2.022293999788543
1.6051563002310472 -2.3435116311098936
2.087735154216976 -2.1650243476243363
1.6512951948538683 -2.3879844852197625
1.560493518565233 -2.440763291433327
1.8355427304799505 -2.221530240756565
2.034629857168828 -2.1723363950279477
1.8772420352863644 -2.174830559877503
2.1592820725821085 -2.108863075239329
3.5866802228641355 -1.0787356720296983
1.9967154836259484 -2.1723363950279477
1.7927061559778954 -2.2349270100019125
1.3003265404765636 -2.469837906258779
2.0569635510136575 -2.1456758395754756
2.095027668849833 -2.0628373584575797
2.099283157369231 -2.0600980627372825
1.7313289893217996 -2.3766479957963194
1.6223676061780656 -2.330099799537652
2.1922405112658954 -2.0324261813562696
3.580763136572324 -1.082191621683048
1.6248734042534472 -2.3851534878230343
1.9885034202191212 -2.2193053472401982
2.219715480404539 -2.0375858215363927
1.741047661038372 -2.22333550743591
3.710208903479276 -1.0780549217638948
1.6080955037065787 -2.3930218389763516
1.6727133219268073 -2.2974911237466964
1.543331122583589 -2.4338660368424145
2.1612631331220333 -2.1276003796627165
1.434006351048331 -2.4747100872785825
2.1777439945691763 -2.0830426806905047
1.8225000758698937 -2.199537583329002
1.6847150256937558 -2.372274437329248
2.0383937519757684 -2.079527131429627
1.7007676676955277 -2.245682041033504
1.8817920861795563 -2.2149195815386813
1.5718203651854488 -2.4010189228899774
1.4103581180461415 -2.4747100872785825
1.927465972810867 -2.163285128250055
2.081187819447031 -2.1327557788668323
1.7416617867003605 -2.336904110437802
1.998055388485068 -2.1094216848035874
2.0383937519757684 -2.1199941601940377
1.6248734042534472 -2.355533328069493
1.906390324676085 -2.199537583329002
1.362832867216463 -2.495028668235675
1.7127575050142645 -2.29066279491982
1.381411479222023 -2.5155159264844755
3.652837353976519 -1.0904181576105074
1.921725971260617 -2.2375604065485843
1.6322152065666766 -2.3079224535877945
1.6727356744016415 -2.354317957068658
1.5170163960405052 -2.4400566832102966
1.9967154836259484 -2.089542545044549
3.7431151149989526 -1.0616229430438442
1.6827795031373949 -2.29334821924611
1.7734718051595642 -2.2536927629873746
2.320819112656494 -2.089542545044549
1.1984875131576485 -2.5664255254354416
3.589537362127331 -1.091890471193815
1.8551544491022212 -2.3435116311098936
3.7484270553981336 -1.0663345041231418
1.1952417126353378 -2.5582077554095926
1.8317657176059368 -2.239168264137108
1.8999681913999271 -2.274615698098979
1.6827795031373949 -2.405497662798019
1.362832867216463 -2.5028016224049923
3.849657499774874 -1.063130959076268
1.8715132258450973 -2.2855255418759874
1.86268637036048 -2.1866791518004085
2.2717302057019673 -1.943329990656963
1.8521107565032486 -2.2270447628784646
1.7723007530839365 -2.32203995608913
1.504308121106189 -2.372274437329248
3.500845659099801 -1.106448327178737
1.2840040864213356 -2.4972195297721935
2.40509275718384 -1.986547734139897
1.1102632988985524 -2.602260569094759
1.9234702500488605 -2.148697158955879
1.789198453327935 -2.1636202629934256
3.436193234934955 -1.1392158063849485
1.734781045979087 -2.355089093324337
1.9260216978876445 -2.235859008374246
2.022515559949773 -2.191975566980254
1.0165556528283872 -2.6997394257855993
2.0383937519757684 -2.0912668448778717
2.062640785821851 -2.169629495046661
1.9966138390246562 -2.1650243476243363
1.0725350214335103 -2.643192703504017
1.9216461580651352 -2.3074711469689904
1.9216461580651352 -2.214589608829958
2.0569635510136575 -2.212794631141575
1.775413282161228 -2.2938482414492225
1.8701691997574463 -2.1807643588548933
1.8684572748127808 -2.3312671860483745
1.3567186711676285 -2.5251888066528787
0.950728784246899 -2.6950615912737144
1.434006351048331 -2.4400566832102966
1.539918828434535 -2.3435116311098936
1.8225000758698937 -2.211144928450733
2.1977938496410654 -2.139294627728291
2.1290077180112554 -2.0619068678934394
1.6847150256937558 -2.3435116311098936
1.7250497029559106 -2.252202453544789
3.7172305914969295 -1.066733245604841
2.01329739809033 -2.2098923866782956
1.8816204101559018 -2.263018186204379
1.6516434703938678 -2.3079224535877945
2.1786111882274843 -2.1959270945000933
2.003362873153223 -2.1860558334062796
2.195014535343714 -2.090808345627255
1.8684572748127808 -2.2814990527485772
1.6248734042534472 -2.3356941439600285
2.0569625773274507 -2.1330718845754735
1.4920203974771333 -2.418448084652681
1.8995001176088284 -2.2494447856133646
3.6682211399192526 -1.106448327178737
0.8856622891992003 -2.7688130981959973
2.0050950805208503 -2.211144928450733
1.2300586919156853 -2.508462878870913
1.5700387148494233 -2.375507935832231
2.123674362392011 -2.1261307283894553
1.2995653635552866 -2.4814102955314823
1.4103581180461415 -2.4814102955314823
1.4103581180461415 -2.459505367581545
1.9967154836259484 -2.1276003796627165
1.4944515761061856 -2.3819775256029487
3.552322536112315 -1.106448327178737
3.7543748795474596 -1.0787356720296983
1.7313289893217996 -2.3152918131122258
1.4944515761061856 -2.469837906258779
2.117839431224812 -2.167165007019834
2.2799678368643357 -1.9878460810178238
1.9588138571025668 -2.139294627728291
3.552840257738427 -1.125339426707977
2.3414074412821986 -2.0781706950665875
1.8936193008970152 -2.160673671465041
2.2529923653090096 -2.0583331060656853
1.5576067975711552 -2.390472941019355
1.9588138571025668 -2.1826000807972177
2.1253554446727545 -2.081513093122443
2.1531060797626136 -2.1456758395754756
1.469006155461745 -2.4631946721353835
2.0012170754363794 -2.182685856759974
1.4841550209321526 -2.4448516482779192
1.8190312520008596 -2.2855255418759874
1.4451592510630875 -2.407740652659548
2.087846794342494 -2.094650899224245
1.6322152065666766 -2.3388601917060985
3.500845659099801 -1.106985511052623
2.1786111882274843 -2.022062772689007
1.741047661038372 -2.3435116311098936
1.6827795031373949 -2.3312671860483745
3.4746670832932907 -1.1256521958096692
1.9693453721925214 -2.1826000807972177
2.1253554446727545 -2.1636202629934256
3.715647642320978 -1.0780549217638948
1.7838709392591585 -2.2270447628784646
1.7497275413581832 -2.239168264137108
1.4920203974771333 -2.4404533177281715
2.1612631331220333 -2.179175403345938
1.3349415722725564 -2.51275567249235
1.906390324676085 -2.2193053472401982
1.8551544491022212 -2.1959270945000933
1.3621594415592715 -2.4901711227646435
2.27588970268553 -1.9808946311066682
1.2639995738812693 -2.492275394682651
1.8715132258450973 -2.169629495046661
2.278818774844204 -1.9878460810178238
1.8995001176088284 -2.2098923866782956
1.362832867216463 -2.5022250855336408
2.200303328156253 -2.081513093122443
