alpha obs_time
2.760758597855636 52196.0
2.5864746506141083 49487.0
2.8772239518453255 52344.0
2.6172232969659275 45700.0
2.863892825745313 52437.0
2.8211311913589574 53453.0
2.7459609265778027 51960.0
2.919241597886955 48594.0
3.082223469169694 53662.0
2.904738328452181 50851.0
2.949340308667277 51933.0
2.802001140074236 48188.0
2.942036143239117 55748.0
3.0543865350630575 52613.0
2.772475203885195 50517.0
3.0046773633661052 55109.0
2.8710711009529595 51072.0
2.836660374078007 50017.0
2.690066382813117 52905.0
2.9229788652551427 51122.0
2.648903619931187 51170.0
2.9396382993614565 53513.0
2.898674295294521 51213.0
3.0004008685501757 52884.0
2.773364380328964 54047.0
2.573461869049802 51142.0
2.7451144970635397 51189.0
3.005749373549797 47963.0
2.8944942412866608 51688.0
2.7175776838763297 47416.0
2.8244526926306754 45282.0
2.805946054677077 49051.0
2.9327305180190018 54441.0
2.6589748183922572 51340.0
3.091989824978511 53077.0
2.641017435051643 49237.0
2.645494508827084 48770.0
2.6799067274026394 53612.0
2.853844401947319 50037.0
2.9522929502593795 50089.0
2.684370445079528 51816.0
2.7770981146856175 51615.0
2.845227783688797 53615.0
3.104579789767175 52810.0
2.898044795283096 49771.0
2.613985325590942 47743.0
2.865968821582793 49496.0
2.7031768531784355 53668.0
2.5164219403707175 50406.0
2.889650156748465 53782.0
2.8872796693462566 54459.0
2.595139422771598 50602.0
2.95132324366996 54526.0
2.714918093323635 52888.0
2.8294244226110177 48753.0
3.080093674672274 54513.0
2.7980941032817706 45788.0
2.925898707439055 47769.0
2.7413275452407913 48323.0
2.7630745397693337 53188.0
2.888831275079599 51678.0
2.8438585884039393 51462.0
2.946373679264709 55053.0
2.9703776088529446 49682.0
2.783980728202242 51795.0
2.843364090279241 49892.0
2.937904077693503 51445.0
2.940993227499151 50345.0
2.8833340350560874 51895.0
2.8225838131469043 52772.0
2.9257072333970138 51806.0
2.624053663447784 46827.0
2.921343301661741 53083.0
2.9588023052200265 49647.0
2.5282604408740967 50985.0
2.862849889575662 50603.0
2.724783779570261 51168.0
2.898571495496959 55140.0
2.899559131937772 49683.0
2.9386331080940304 50560.0
2.660133226317624 47083.0
2.894813924638628 51214.0
2.958495913369127 49654.0
2.7652668974630874 51970.0
2.679589295464029 49362.0
2.6858696642816335 47990.0
2.581667896959831 50071.0
2.939887022819362 48114.0
2.8585407463878822 48234.0
2.893030841570156 49347.0
