Energy Unpiled Piled
0.3199999928474426 359 274
0.33000001311302185 341 254
0.3400000035762787 350 258
0.3499999940395355 311 232
0.36000001430511475 282 249
0.3700000047683716 266 227
0.3799999952316284 237 227
0.38999998569488525 237 241
0.4000000059604645 218 227
0.4099999964237213 185 190
0.41999998688697815 178 202
0.4300000071525574 166 202
0.4399999976158142 179 183
0.44999998807907104 141 175
0.46000000834465027 135 172
0.4699999988079071 117 172
0.47999998927116394 120 199
0.49000000953674316 114 175
0.5 109 167
0.5099999904632568 107 159
0.5199999809265137 109 167
0.5299999713897705 98 159
0.5400000214576721 81 148
0.550000011920929 88 157
0.5600000023841858 77 133
0.5699999928474426 61 118
0.5799999833106995 64 134
0.5899999737739563 71 114
0.6000000238418579 69 143
0.6100000143051147 69 118
0.6200000047683716 55 110
0.6299999952316284 67 126
0.6399999856948853 64 133
0.6499999761581421 48 112
0.6600000262260437 56 120
0.6700000166893005 56 124
0.6800000071525574 45 90
0.6899999976158142 62 121
0.699999988079071 49 90
0.7099999785423279 33 79
0.7200000286102295 46 72
0.7300000190734863 37 95
0.7400000095367432 40 85
0.75 45 81
0.7599999904632568 30 85
0.7699999809265137 46 95
0.7799999713897705 34 85
0.7900000214576721 32 77
0.800000011920929 29 71
0.8100000023841858 28 84
0.8199999928474426 26 79
0.8299999833106995 32 72
0.8399999737739563 22 63
0.8500000238418579 28 58
0.8600000143051147 30 72
0.8700000047683716 23 55
0.8799999952316284 20 66
0.8899999856948853 26 60
0.8999999761581421 30 63
0.9100000262260437 17 53
0.9200000166893005 24 49
0.9300000071525574 23 56
0.9399999976158142 20 65
0.949999988079071 14 40
0.9599999785423279 16 46
0.9700000286102295 13 55
0.9800000190734863 21 58
0.9900000095367432 14 51
1.0 12 39
1.0099999904632568 18 48
1.0199999809265137 10 44
1.0299999713897705 15 48
1.0399999618530273 16 45
1.0499999523162842 13 33
1.059999942779541 16 37
1.0700000524520874 7 39
1.0800000429153442 10 34
1.090000033378601 10 44
1.100000023841858 13 51
1.1100000143051147 18 41
1.1200000047683716 8 36
1.1299999952316284 10 35
1.1399999856948853 9 31
1.149999976158142 7 35
1.159999966621399 13 33
1.1699999570846558 12 36
1.1799999475479126 15 26
1.190000057220459 9 18
1.2000000476837158 7 33
1.2100000381469727 16 25
1.2200000286102295 12 23
1.2300000190734863 13 29
1.2400000095367432 9 20
1.25 7 29
1.2599999904632568 9 24
1.2699999809265137 12 22
1.2799999713897705 9 24
1.2899999618530273 7 19
1.2999999523162842 8 20
1.309999942779541 7 24
1.3200000524520874 10 28
1.3300000429153442 6 26
1.340000033378601 7 22
1.350000023841858 5 21
1.3600000143051147 10 24
1.3700000047683716 8 16
1.3799999952316284 4 29
1.3899999856948853 12 19
1.399999976158142 6 17
1.409999966621399 11 20
1.4199999570846558 7 20
1.4299999475479126 8 16
1.440000057220459 10 10
1.4500000476837158 5 16
1.4600000381469727 7 9
1.4700000286102295 8 17
1.4800000190734863 5 16
1.4900000095367432 3 8
1.5 6 11
1.5099999904632568 6 18
1.5199999809265137 4 13
1.5299999713897705 9 15
1.5399999618530273 3 19
1.5499999523162842 4 11
1.559999942779541 3 18
1.5700000524520874 2 8
1.5800000429153442 2 12
1.590000033378601 3 21
1.600000023841858 4 13
1.6100000143051147 6 16
1.6200000047683716 7 18
1.6299999952316284 4 12
1.6399999856948853 7 12
1.649999976158142 4 16
1.659999966621399 5 11
1.6699999570846558 5 14
1.6799999475479126 3 8
1.690000057220459 5 4
1.7000000476837158 3 13
1.7100000381469727 4 11
1.7200000286102295 1 11
1.7300000190734863 2 8
1.7400000095367432 5 7
1.75 4 6
1.7599999904632568 3 12
1.7699999809265137 3 6
1.7799999713897705 3 8
1.7899999618530273 5 10
1.7999999523162842 6 11
1.809999942779541 4 11
1.8200000524520874 2 5
1.8300000429153442 5 5
1.840000033378601 1 7
1.850000023841858 5 12
1.8600000143051147 3 10
1.8700000047683716 4 8
1.8799999952316284 3 5
1.8899999856948853 4 4
1.899999976158142 5 7
1.909999966621399 2 3
1.9199999570846558 2 9
1.9299999475479126 3 4
1.940000057220459 1 5
1.9500000476837158 8 15
1.9600000381469727 4 4
1.9700000286102295 4 6
1.9800000190734863 3 6
1.9900000095367432 2 5
2.0 1 6
2.009999990463257 2 7
2.0199999809265137 1 5
2.0299999713897705 3 8
2.0399999618530273 3 1
2.049999952316284 0 4
2.059999942779541 4 6
2.069999933242798 2 5
2.0799999237060547 4 2
2.0899999141693115 6 9
2.0999999046325684 1 5
2.109999895095825 2 2
2.119999885559082 3 8
2.130000114440918 1 2
2.140000104904175 3 5
2.1500000953674316 4 7
2.1600000858306885 7 3
2.1700000762939453 2 5
2.180000066757202 2 6
2.190000057220459 1 4
2.200000047683716 1 1
2.2100000381469727 1 1
2.2200000286102295 1 6
2.2300000190734863 3 6
2.240000009536743 1 6
2.25 6 6
2.259999990463257 1 5
2.2699999809265137 5 4
2.2799999713897705 1 0
2.2899999618530273 1 2
2.299999952316284 3 4
2.309999942779541 3 7
2.319999933242798 2 5
2.3299999237060547 4 2
2.3399999141693115 2 4
2.3499999046325684 3 3
2.359999895095825 1 3
2.369999885559082 2 2
2.380000114440918 2 6
2.390000104904175 0 4
2.4000000953674316 3 4
2.4100000858306885 0 2
2.4200000762939453 2 2
2.430000066757202 0 0
2.440000057220459 1 1
2.450000047683716 1 7
2.4600000381469727 1 0
2.4700000286102295 1 7
2.4800000190734863 2 1
2.490000009536743 3 1
2.5 3 5
2.509999990463257 1 0
2.5199999809265137 1 5
2.5299999713897705 2 1
2.5399999618530273 4 3
2.549999952316284 1 2
2.559999942779541 1 5
2.569999933242798 2 3
2.5799999237060547 1 6
2.5899999141693115 2 2
2.5999999046325684 3 5
2.609999895095825 2 2
2.619999885559082 0 1
2.630000114440918 0 2
2.640000104904175 1 2
2.6500000953674316 1 4
2.6600000858306885 1 2
2.6700000762939453 2 3
2.680000066757202 2 3
2.690000057220459 2 6
2.700000047683716 3 3
2.7100000381469727 1 0
2.7200000286102295 2 3
2.7300000190734863 2 1
2.740000009536743 3 2
2.75 1 3
2.759999990463257 2 3
2.7699999809265137 1 3
2.7799999713897705 0 2
2.7899999618530273 1 3
2.799999952316284 0 1
2.809999942779541 0 1
2.819999933242798 0 1
2.8299999237060547 3 1
2.8399999141693115 1 0
2.8499999046325684 1 3
2.859999895095825 0 4
2.869999885559082 1 3
2.880000114440918 0 0
2.890000104904175 0 2
2.9000000953674316 0 1
2.9100000858306885 0 1
2.9200000762939453 1 3
2.930000066757202 1 1
2.940000057220459 1 2
2.950000047683716 1 2
2.9600000381469727 2 3
2.9700000286102295 0 0
2.9800000190734863 2 0
2.990000009536743 1 0
3.0 1 3
3.009999990463257 0 1
3.0199999809265137 0 2
3.0299999713897705 1 0
3.0399999618530273 4 3
3.049999952316284 1 1
3.059999942779541 1 2
3.069999933242798 1 3
3.0799999237060547 0 2
3.0899999141693115 0 0
3.0999999046325684 0 3
3.109999895095825 0 1
3.119999885559082 2 0
3.130000114440918 0 1
3.140000104904175 2 1
3.1500000953674316 1 1
3.1600000858306885 1 1
3.1700000762939453 1 3
3.180000066757202 0 1
3.190000057220459 3 4
3.200000047683716 0 0
3.2100000381469727 0 1
3.2200000286102295 0 0
3.2300000190734863 0 0
3.240000009536743 3 4
3.25 1 1
3.259999990463257 1 1
3.2699999809265137 2 2
3.2799999713897705 1 1
3.2899999618530273 0 0
3.299999952316284 0 0
3.309999942779541 0 0
3.319999933242798 0 1
3.3299999237060547 1 1
3.3399999141693115 0 1
3.3499999046325684 0 2
3.359999895095825 0 0
3.369999885559082 0 2
3.380000114440918 2 3
3.390000104904175 0 1
3.4000000953674316 0 0
3.4100000858306885 0 1
3.4200000762939453 0 0
3.430000066757202 2 1
3.440000057220459 0 1
3.450000047683716 0 0
3.4600000381469727 0 0
3.4700000286102295 0 1
3.4800000190734863 0 0
3.490000009536743 1 1
3.5 0 0
3.509999990463257 1 0
3.5199999809265137 0 0
3.5299999713897705 1 3
3.5399999618530273 1 0
3.549999952316284 1 2
3.559999942779541 1 1
3.569999933242798 0 0
3.5799999237060547 1 0
